id,Title,Overall Rating,Year,Genre,MPAA Rating,Directors,Actors,Plot
1955,Away We Go,2.65/4,2009,Comedy,R,Sam Mendes,"John Krasinski, Maya Rudolph, Jeff Daniels","A couple expecting their first child are looking for the perfect place to call home. After a series of misadventures with old friends and relatives, maybe they will finally find a place to call their own."
1956,Winnebago Man,2.73/4,2009,Documentary/Comedy,NR,Ben Steinbauer,"Jack Rebney, Ben Steinbauer, Alan Berliner",Jack Rebney became an underground sensation once his expletive-laden Winnebago sales video outtake became an Internet hit. Ben Steinbauer makes it his duty to track down the reclusive man and find out about the real Winnebago Man.
1957,Where the Wild Things Are,2.57/4,2009,Animation/Fantasy,PG,Spike Jonze,"Catherine Keener, Forest Whitaker, Catherine O'Hara","Based on the popular book by Maurice Sendak, when Max is sent to bed without supper, he creates his own world populated by wild beasts who crown Max their new king."
1958,World's Greatest Dad,2.65/4,2009,Comedy,R,Bob Goldthwait,"Robin Williams, Henry Simmons, Daryl Sabara",
1959,Saw VI,2.58/4,2009,Horror/Crime,R,Kevin Greutert,"Shawnee Smith, Tobin Bell, Betsy Russell","Detective Mark Hoffman has emerged as Jigsaws latest protege. With the FBI closing in, Hoffman begins another game, one that will unravel Jigsaw's grand design."
1960,Adventureland,2.58/4,2009,Comedy,R,Greg Mottola,"Kristen Stewart, Ryan Reynolds, Bill Hader","In 1987 a recent college grad sees his European trip go up in smoke when his parents can't cover the cost. Forced into a menial job at a local amusement park, he finds out more about life and love than he would ever imagine."
1961,The Damned United,2.67/4,2009,Drama/Sport,R,Tom Hooper,"Michael Sheen, Colm Meaney, Jim Broadbent",Follows Brian Clough's 44-day tenure as manager for reigning champions Leeds United.
1962,State of Play,2.61/4,2009,Crime/Drama,PG-13,Kevin Macdonald,"Rachel McAdams, Russell Crowe, Jason Bateman",An investigative reporter on the uncovering the mystery behind a series of brutal murders finds himself tangled in the highest echelons of political and corporate giants.
1963,The Brothers Bloom,2.63/4,2009,Adventure/Comedy,PG-13,Rian Johnson,"Rachel Weisz, Mark Ruffalo, Adrien Brody","Two expert con men decide to take on one last job: showing a beautiful, eccentric heiress the time of her life while traveling the world."
1964,Collapse (2009),2.92/4,2009,Documentary,NR,Chris Smith,Michael Ruppert,
1965,Arn: The Knight Templar ( Arn - Tempelriddaren ),2.72/4,2009,Action/Drama,R,Peter Flinth,"Joakim N_tterqvist, Sofia Helin, Stellan Skarsg̴rd",Coming from nobility Arn is raised as a monastic warrior but forbidden love sends him and the woman he was with to 20 years in separate monasteries. But Arn is given a higher calling - to become a Templar and help the holy order stop Saladin and his army from taking Jerusalem.
