,movie_id,genre_id,genre_name
1865,642,16,Romance
1866,642,17,Biography
1867,642,6,Drama
1868,643,6,Drama
1869,643,3,Comedy
1870,644,19,Sport
1871,644,17,Biography
1872,644,6,Drama
1873,645,3,Comedy
1874,645,6,Drama
1875,645,5,Adventure
1876,646,16,Romance
1877,646,6,Drama
1878,647,0,Crime
1879,647,2,Thriller
1880,647,7,Action
1881,648,16,Romance
1882,648,6,Drama
1883,648,3,Comedy
1884,649,16,Romance
1885,649,10,History
1886,649,17,Biography
1887,649,6,Drama
1888,650,1,Horror
1889,650,6,Drama
1890,651,7,Action
1891,651,6,Drama
1892,652,16,Romance
1893,652,6,Drama
1894,653,0,Crime
1895,653,6,Drama
1896,653,7,Action
1897,653,3,Comedy
1898,654,4,Animation
1899,654,7,Action
1900,654,5,Adventure
1901,655,14,Fantasy
1902,655,7,Action
1903,655,5,Adventure
1904,656,2,Thriller
1905,656,17,Biography
1906,656,6,Drama
1907,657,17,Biography
1908,657,6,Drama
1909,658,12,War
1910,658,10,History
1911,658,6,Drama
1912,658,8,Mystery
1913,659,8,Mystery
1914,659,1,Horror
1915,659,6,Drama
1916,660,14,Fantasy
1917,660,6,Drama
1918,660,3,Comedy
1919,661,16,Romance
1920,661,6,Drama
1921,661,3,Comedy
1922,662,16,Romance
1923,662,3,Comedy
1924,663,20,Music
1925,663,3,Comedy
1926,663,5,Adventure
1927,664,12,War
1928,664,16,Romance
1929,664,6,Drama
1930,665,12,War
1931,665,6,Drama
1932,666,15,Family
1933,666,7,Action
1934,666,5,Adventure
1935,667,3,Comedy
1936,667,4,Animation
1937,667,7,Action
1938,667,5,Adventure
1939,668,16,Romance
1940,668,6,Drama
1941,669,15,Family
1942,669,6,Drama
1943,670,8,Mystery
1944,670,2,Thriller
1945,670,6,Drama
1946,671,9,Sci-Fi
1947,671,7,Action
1948,671,5,Adventure
1949,672,16,Romance
1950,672,2,Thriller
1951,672,6,Drama
1952,673,14,Fantasy
1953,673,6,Drama
1954,673,3,Comedy
1955,674,0,Crime
1956,674,6,Drama
1957,674,3,Comedy
1958,675,6,Drama
1959,675,19,Sport
1960,675,7,Action
1961,676,0,Crime
1962,676,2,Thriller
1963,676,7,Action
1964,677,0,Crime
1965,677,6,Drama
1966,677,7,Action
1967,678,6,Drama
1968,679,3,Comedy
1969,679,17,Biography
1970,679,6,Drama
1971,679,5,Adventure
1972,680,6,Drama
1973,680,10,History
1974,680,12,War
1975,680,7,Action
1976,681,3,Comedy
1977,681,7,Action
1978,681,5,Adventure
1979,682,0,Crime
1980,682,6,Drama
1981,682,2,Thriller
1982,682,7,Action
1983,683,16,Romance
1984,683,6,Drama
1985,683,5,Adventure
1986,684,16,Romance
1987,684,6,Drama
1988,684,3,Comedy
1989,685,19,Sport
1990,685,6,Drama
1991,686,0,Crime
1992,686,2,Thriller
1993,686,6,Drama
1994,687,14,Fantasy
1995,687,15,Family
1996,687,3,Comedy
1997,688,15,Family
1998,688,6,Drama
1999,688,14,Fantasy
2000,688,7,Action
2001,688,5,Adventure
2002,689,10,History
2003,689,2,Thriller
2004,689,11,Historical
2005,689,6,Drama
2006,690,6,Drama
2007,690,2,Thriller
2008,690,9,Sci-Fi
2009,690,7,Action
2010,691,16,Romance
2011,691,3,Comedy
2012,692,20,Music
2013,692,18,Musical
2014,692,16,Romance
2015,692,6,Drama
2016,693,16,Romance
2017,693,10,History
2018,693,17,Biography
2019,693,6,Drama
2020,694,11,Historical
2021,694,17,Biography
2022,694,6,Drama
2023,695,0,Crime
2024,695,2,Thriller
2025,695,17,Biography
2026,695,6,Drama
2027,696,1,Horror
2028,696,2,Thriller
2029,697,6,Drama
2030,697,17,Biography
2031,697,7,Action
2032,698,8,Mystery
2033,698,1,Horror
2034,698,6,Drama
2035,698,2,Thriller
2036,699,8,Mystery
2037,699,6,Drama
2038,700,3,Comedy
2039,700,14,Fantasy
2040,700,15,Family
2041,700,5,Adventure
2042,701,11,Historical
2043,701,17,Biography
2044,701,6,Drama
2045,702,16,Romance
2046,702,6,Drama
2047,702,3,Comedy
2048,703,20,Music
2049,703,18,Musical
2050,703,17,Biography
2051,703,6,Drama
2052,704,12,War
2053,704,17,Biography
2054,704,6,Drama
2055,704,3,Comedy
2056,705,16,Romance
2057,705,6,Drama
2058,705,3,Comedy
2059,706,2,Thriller
2060,706,1,Horror
2061,706,7,Action
2062,706,3,Comedy
2063,707,6,Drama
2064,707,3,Comedy
2065,708,12,War
2066,708,6,Drama
2067,709,0,Crime
2068,709,8,Mystery
2069,709,6,Drama
2070,710,0,Crime
2071,710,16,Romance
2072,710,2,Thriller
2073,710,6,Drama
2074,711,16,Romance
2075,711,6,Drama
2076,712,16,Romance
2077,712,3,Comedy
2078,713,16,Romance
2079,713,6,Drama
2080,713,3,Comedy
2081,714,0,Crime
2082,714,7,Action
2083,714,5,Adventure
2084,715,14,Fantasy
2085,715,1,Horror
2086,716,20,Music
2087,716,6,Drama
2088,717,8,Mystery
2089,717,1,Horror
2090,717,2,Thriller
2091,718,15,Family
2092,718,6,Drama
2093,719,19,Sport
2094,719,5,Adventure
2095,719,3,Comedy
2096,720,16,Romance
2097,720,15,Family
2098,720,6,Drama
2099,720,3,Comedy
2100,721,16,Romance
2101,721,2,Thriller
2102,721,6,Drama
2103,722,16,Romance
2104,722,17,Biography
2105,722,6,Drama
2106,723,14,Fantasy
2107,723,7,Action
2108,723,5,Adventure
2109,724,0,Crime
2110,724,6,Drama
2111,724,7,Action
2112,725,14,Fantasy
2113,725,6,Drama
2114,725,3,Comedy
2115,726,20,Music
2116,726,16,Romance
2117,726,6,Drama
2118,726,3,Comedy
2119,727,3,Comedy
2120,727,5,Adventure
2121,728,6,Drama
2122,728,2,Thriller
2123,728,7,Action
2124,729,20,Music
2125,729,16,Romance
2126,729,3,Comedy
2127,730,1,Horror
2128,730,9,Sci-Fi
2129,730,2,Thriller
2130,731,18,Musical
2131,731,14,Fantasy
2132,731,1,Horror
2133,731,9,Sci-Fi
2134,732,6,Drama
2135,732,3,Comedy
2136,733,6,Drama
2137,733,3,Comedy
2138,734,7,Action
2139,734,3,Comedy
2140,735,8,Mystery
2141,735,2,Thriller
2142,736,6,Drama
2143,736,10,History
2144,736,11,Historical
2145,736,17,Biography
2146,736,2,Thriller
2147,737,3,Comedy
2148,737,4,Animation
2149,737,5,Adventure
2150,738,16,Romance
2151,738,6,Drama
2152,739,16,Romance
2153,739,6,Drama
2154,739,3,Comedy
2155,740,19,Sport
2156,740,17,Biography
2157,740,6,Drama
2158,741,16,Romance
2159,741,6,Drama
2160,741,3,Comedy
2161,742,16,Romance
2162,742,6,Drama
2163,742,3,Comedy
2164,743,1,Horror
2165,743,6,Drama
2166,743,2,Thriller
2167,744,0,Crime
2168,744,20,Music
2169,744,16,Romance
2170,744,6,Drama
2171,745,0,Crime
2172,745,2,Thriller
2173,745,6,Drama
2174,746,8,Mystery
2175,746,2,Thriller
2176,746,9,Sci-Fi
2177,746,6,Drama
2178,747,6,Drama
2179,747,3,Comedy
2180,748,14,Fantasy
2181,748,7,Action
2182,748,5,Adventure
2183,749,2,Thriller
2184,749,7,Action
2185,749,5,Adventure
2186,750,15,Family
2187,750,4,Animation
2188,750,3,Comedy
2189,751,6,Drama
2190,751,11,Historical
2191,751,7,Action
2192,751,5,Adventure
2193,752,2,Thriller
2194,752,7,Action
2195,752,9,Sci-Fi
2196,752,6,Drama
2197,753,0,Crime
2198,753,2,Thriller
2199,753,6,Drama
2200,754,16,Romance
2201,754,3,Comedy
2202,755,16,Romance
2203,755,8,Mystery
2204,755,6,Drama
2205,756,3,Comedy
2206,756,4,Animation
2207,756,5,Adventure
2208,757,9,Sci-Fi
2209,757,7,Action
2210,757,5,Adventure
2211,758,9,Sci-Fi
2212,758,7,Action
2213,758,5,Adventure
2214,759,19,Sport
2215,759,6,Drama
2216,760,0,Crime
2217,760,2,Thriller
2218,760,7,Action
2219,761,3,Comedy
2220,761,4,Animation
2221,761,5,Adventure
2222,762,16,Romance
2223,762,6,Drama
2224,762,3,Comedy
2225,763,0,Crime
2226,763,6,Drama
2227,763,12,War
2228,763,8,Mystery
